rank,priority_band,decision,page_kind,title,path,business_priority,planner_score,phrase_count,max_count,strongest_phrase,strongest_region,regions,intent_ids,top_queries,note
"20","later","create","guide","Глубина скважины и итоговая стоимость","/guides/glubina-skvazhiny-i-itogovaya-stoimost/","P1","38.1","1","7","как считается глубина скважины при бурении","Омск","Омск:7|Омская область:7","D04","как считается глубина скважины при бурении:7|как считается глубина скважины при бурении:7","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"21","later","create","guide","Механизированная или ручная штукатурка","/guides/mehanizirovannaya-ili-ruchnaya-shtukaturka/","P1","36.9","17","6","какая механизированная штукатурка лучше","Омск","Омск:6|Омская область:6","P01","какая механизированная штукатурка лучше:6|какая механизированная штукатурка лучше:6|кнауф механизированная штукатурка 30 кг:4|кнауф механизированная штукатурка 30 кг:4|нужно механизированной штукатурки:3|нужно механизированной штукатурки:3|аппарат для механизированной штукатурки аренда:2|аппарат для механизированной штукатурки аренда:2|как делается механизированная штукатурка стен видео:2|как делается механизированная штукатурка стен видео:2","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"22","later","create","guide","Гипсовая или цементная штукатурка","/guides/gipsovaya-ili-cementnaya-shtukaturka/","P2","36.8","3","10","механизированная гипсовая штукатурка","Омск","Омск:10|Омская область:10","P02","механизированная гипсовая штукатурка:10|механизированная гипсовая штукатурка:10|гипсовая штукатурка кнауф механизированная:4|гипсовая штукатурка кнауф механизированная:4|механизированная цементная штукатурка:4|механизированная цементная штукатурка:4","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"23","later","create","guide","Готовая баня как альтернатива долгой стройке","/guides/gotovaya-banya-kak-alternativa-dolgoy-stroyke/","P1","34","2","4","мобильная баня своими руками","Омск","Омск:4|Омская область:4","B01","мобильная баня своими руками:4|мобильная баня своими руками:4|где можно посмотреть готовые бани:3|где можно посмотреть готовые бани:3","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"24","later","create","landing","Как проходит доставка и установка","/kak-prohodit-dostavka-i-ustanovka-omsk/","P1","34","1","4","установка бани на участке","Омск","Омск:4|Омская область:4","B11","установка бани на участке:4|установка бани на участке:4","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
"25","later","create","guide","Планировка: парная, мойка и комната отдыха","/guides/planirovka-parnaya-moyka-i-komnata-otdyha/","P2","32.9","3","6","каркасная моечная баня","Омская область","Омская область:6|Омск:5","B06","каркасная моечная баня:6|каркасная моечная баня:5|парная баня на дачном участке:5|парная баня на дачном участке:3|готовая планировка бани:1|готовая планировка бани:1","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"26","later","create","guide","Когда можно ходить и укладывать покрытие","/guides/kogda-mozhno-hodit-i-ukladyvat-pokrytie/","P2","31.6","1","5","сколько сохнет полусухая стяжка","Омская область","Омская область:5|Омск:4","S03","сколько сохнет полусухая стяжка:5|сколько сохнет полусухая стяжка:4","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"27","later","create","guide","Стоимость доставки по Омску и области","/guides/stoimost-dostavki-po-omsku-i-oblasti/","P1","29.5","1","2","сколько будет стоить доставка бани","Омская область","Омская область:2","B10","сколько будет стоить доставка бани:2","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"28","later","create","guide","Печь и дымоход","/guides/pech-i-dymohod/","P2","28","2","3","готовые печи для бани","Омск","Омск:3|Омская область:3","B19","готовые печи для бани:3|готовые печи для бани:3|готовая печка для бани:2","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"29","later","create","landing","Планировка: парная, мойка и комната отдыха","/planirovka-parnaya-moyka-i-komnata-otdyha-omsk/","P2","25.5","1","2","планировка бани на участке","Омск","Омск:2|Омская область:2","B06","планировка бани на участке:2|планировка бани на участке:2","Автоматический кандидат: коммерческий intent не привязан к существующей странице."
