intent_id,intent_title,cluster,region_id,region_name,business_priority,relative_demand_band,relative_rank,phrase_count,max_count,strongest_phrase,dominant_query_type,next_action,commercial_phrases,informational_phrases,unmapped_phrases,top_phrases
"B14","Фундамент для мобильной или готовой бани","Бани","11318","Омская область","P1","high","5","62","183","фундамент под баню","informational","guide","2","60","0","фундамент под баню:183:informational:guide|каркасная баня на сваях:29:commercial:landing|какой фундамент под баню:21:informational:guide|ленточный фундамент под баню:21:informational:guide|фундамент под баню 5 5:15:informational:guide|фундамент под баню своими руками:15:informational:guide|баня 4 4 фундамент под баню:12:informational:guide|как залить фундамент под баню:12:informational:guide"
"B10","Стоимость доставки по Омску и области","Бани","11318","Омская область","P1","medium","6","30","178","баня с доставкой","commercial","landing","29","1","0","баня с доставкой:178:commercial:landing|бани с доставкой омск:143:commercial:landing|готовые бани с доставкой:88:commercial:landing|баня с доставкой и установкой:76:commercial:landing|баня с доставкой и установкой под ключ:71:commercial:landing|купить баню с доставкой:68:commercial:landing|готовые бани с доставкой омск:63:commercial:landing|купить баню с доставкой в омске:62:commercial:landing"
"B08","Что входит в баню под ключ","Бани","11318","Омская область","P1","medium","7","18","143","готовая баня под ключ","commercial","landing","18","0","0","готовая баня под ключ:143:commercial:landing|готовые бани под ключ в омске:93:commercial:landing|цена готовой бани под ключ:77:commercial:landing|готовые бани под ключ недорого:48:commercial:landing|готовая баня под ключ недорого цена:46:commercial:landing|готовые бани под ключ фото:40:commercial:landing|готовые бани под ключ фото цена:40:commercial:landing|купить готовую баню под ключ:34:commercial:landing"
"B17","Использование бани зимой в Омске","Бани","11318","Омская область","P1","medium","8","31","130","баня зимой","informational","guide","0","31","0","баня зимой:130:informational:guide|теплая баня зимой:10:informational:guide|вода в бане зимой:8:informational:guide|как утеплить баню зимой:8:informational:guide|пол в бане зимой:5:informational:guide|как сделать баню зимой:4:informational:guide|голая баня зимой:3:informational:guide|провести воду в баню зимой:3:informational:guide"
"B20","Кедр против сосны и ели","Бани","11318","Омская область","P2","medium","9","14","130","кедровые бани","commercial","landing","12","2","0","кедровые бани:130:commercial:landing|кедровые бани омск:76:commercial:landing|кедровая баня омск демьяна:30:commercial:landing|кедровая баня на демьяна бедного:21:informational:guide|кедровая баня на демьяна бедного омск:20:informational:guide|кедровые бани бочки:6:commercial:landing|кедровая баня цена:4:commercial:landing|кедровую баню чем обработать:2:commercial:landing"
"D04","Глубина скважины и итоговая стоимость","Бурение","11318","Омская область","P1","medium","10","2","55","бурение скважин цена","commercial","landing","1","1","0","бурение скважин цена:55:commercial:landing|как считается глубина скважины при бурении:7:informational:guide"
"B02","Готовая баня или строить на участке","Бани","11318","Омская область","P1","medium","11","25","47","строительство бани под ключ","informational","guide","8","17","0","строительство бани под ключ:47:commercial:landing|строительство бани на участке:45:commercial:landing|омск строительство бань под ключ:26:commercial:landing|строительство бани под ключ цена:25:commercial:landing|строительство бани на дачном участке:21:informational:guide|строительство бань в омске под ключ цены:20:commercial:landing|строительство бань в тюмени под ключ:17:commercial:landing|строительство бани на земельном участке:8:informational:guide"
"B09","Итоговая цена и доплаты","Бани","11318","Омская область","P1","medium","12","5","11","стоимость баня под ключ цена","commercial","landing","5","0","0","стоимость баня под ключ цена:11:commercial:landing|стоимость бани бочки под ключ:7:commercial:landing|стоимость бани бочки под ключ цена:7:commercial:landing|сколько цена бани бочки под ключ:5:commercial:landing|стоимость бани на участке:1:commercial:landing"
"P02","Гипсовая или цементная штукатурка","Штукатурка","11318","Омская область","P2","medium","13","3","10","механизированная гипсовая штукатурка","informational","guide","0","3","0","механизированная гипсовая штукатурка:10:informational:guide|гипсовая штукатурка кнауф механизированная:4:informational:guide|механизированная цементная штукатурка:4:informational:guide"
"B06","Планировка: парная, мойка и комната отдыха","Бани","11318","Омская область","P2","medium","14","4","6","каркасная моечная баня","informational","guide","1","3","0","каркасная моечная баня:6:informational:guide|парная баня на дачном участке:5:informational:guide|планировка бани на участке:2:commercial:landing|готовая планировка бани:1:informational:guide"
"B16","Слив и вода зимой","Бани","11318","Омская область","P2","low","15","2","5","баня зимой замерзает вода","informational","guide","0","2","0","баня зимой замерзает вода:5:informational:guide|баня слив воды зимой:3:informational:guide"
"S03","Когда можно ходить и укладывать покрытие","Стяжка","11318","Омская область","P2","low","16","1","5","сколько сохнет полусухая стяжка","informational","guide","0","1","0","сколько сохнет полусухая стяжка:5:informational:guide"
"B11","Как проходит доставка и установка","Бани","11318","Омская область","P1","low","17","4","4","установка бани на участке","informational","guide","1","3","0","установка бани на участке:4:commercial:landing|нормативы установки бани на участке:1:informational:guide|правила установки бани на участке:1:informational:guide|установка бани на участке правила и нормативы:1:informational:guide"
"B04","Как выбрать размер 2×2, 3×2 или 4×2","Бани","11318","Омская область","P1","low","18","9","3","баня 4х2","commercial","landing","7","2","0","баня 4х2:3:commercial:landing|баня 2х2:2:commercial:landing|баня 2х2 своими руками:1:informational:guide|баня 4х2 5:1:commercial:landing|баня 4х2 каркасная:1:commercial:landing|баня 4х2 планировка:1:commercial:landing|каркасная баня 2х2:1:commercial:landing|каркасная баня 2х2 своими руками:1:informational:guide"
"B19","Печь и дымоход","Бани","11318","Омская область","P2","low","19","3","3","готовые печи для бани","informational","guide","1","2","0","готовые печи для бани:3:informational:guide|готовая печка для бани:2:informational:guide|готовые готовые печи для бань купить:2:commercial:landing"
"P03","От чего зависит цена штукатурки","Штукатурка","11318","Омская область","P1","low","20","1","2","механизированная штукатурка цена","commercial","landing","1","0","0","механизированная штукатурка цена:2:commercial:landing"
