intent_id,intent_title,cluster,region_id,region_name,business_priority,relative_demand_band,relative_rank,phrase_count,max_count,strongest_phrase,top_phrases
"D04","Глубина скважины и итоговая стоимость","Бурение","66","Омск","P1","medium","11","2","27","бурение скважин цена","бурение скважин цена:27|как считается глубина скважины при бурении:7"
"P02","Гипсовая или цементная штукатурка","Штукатурка","66","Омск","P2","medium","12","3","10","механизированная гипсовая штукатурка","механизированная гипсовая штукатурка:10|гипсовая штукатурка кнауф механизированная:4|механизированная цементная штукатурка:4"
"B06","Планировка: парная, мойка и комната отдыха","Бани","66","Омск","P2","medium","13","4","5","каркасная моечная баня","каркасная моечная баня:5|парная баня на дачном участке:3|планировка бани на участке:2|готовая планировка бани:1"
"B16","Слив и вода зимой","Бани","66","Омск","P2","medium","14","2","5","баня зимой замерзает вода","баня зимой замерзает вода:5|баня слив воды зимой:2"
"B11","Как проходит доставка и установка","Бани","66","Омск","P1","low","15","5","4","установка бани на участке","установка бани на участке:4|норма установки бани на участке:1|нормативы установки бани на участке:1|правила установки бани на участке:1|установка бани на участке правила и нормативы:1"
"S03","Когда можно ходить и укладывать покрытие","Стяжка","66","Омск","P2","low","16","1","4","сколько сохнет полусухая стяжка","сколько сохнет полусухая стяжка:4"
"B19","Печь и дымоход","Бани","66","Омск","P2","low","17","2","3","готовые печи для бани","готовые печи для бани:3|готовые готовые печи для бань купить:2"
"B04","Как выбрать размер 2×2, 3×2 или 4×2","Бани","66","Омск","P1","low","18","7","2","баня 4х2","баня 4х2:2|баня 2х2:1|баня 2х2 своими руками:1|баня 4х2 5:1|баня 4х2 планировка:1|каркасная баня 2х2:1|каркасная баня 2х2 своими руками:1"
"P03","От чего зависит цена штукатурки","Штукатурка","66","Омск","P1","low","19","1","2","механизированная штукатурка цена","механизированная штукатурка цена:2"
"B09","Итоговая цена и доплаты","Бани","66","Омск","P1","low","20","1","2","стоимость баня под ключ цена","стоимость баня под ключ цена:2"
"S01","Полусухая или мокрая стяжка","Стяжка","11318","Омская область","P1","high","1","193","1636","полусухая стяжка","полусухая стяжка:1636|полусухая стяжка пола:1005|полусухая стяжка пола омск:94|полусухая стяжка в квартире:50|полусухая стяжка своими руками:47|полусухая стяжка цена:45|полусухая стяжка в омске:43|полусухая стяжка пола в квартире:43"
"B01","Готовая баня как альтернатива долгой стройке","Бани","11318","Омская область","P1","high","2","303","1521","баня под ключ","баня под ключ:1521|готовые бани:1124|баня под ключ в омске:779|готовые бани в омске:546|купить готовую баню:502|баня под ключ цена:474|баня под ключ омск цены:367|мобильная баня:364"
"B03","Квадро или каркасная баня","Бани","11318","Омская область","P1","high","3","172","900","каркасная баня","каркасная баня:900|каркасная баня своими руками:166|пол в каркасной бане:76|каркасная баня в омске:55|каркасная баня пошаговая:54|каркасная баня своими руками пошаговая:52|инструкция каркасной бани:44|каркасная баня пошаговая инструкция:44"
"P01","Механизированная или ручная штукатурка","Штукатурка","11318","Омская область","P1","high","4","53","766","механизированная штукатурка","механизированная штукатурка:766|механизированной штукатуркой механизируемая штукатурка:766|механизированная штукатурка стен:16|механизированная штукатурка омск:8|какая механизированная штукатурка лучше:6|лучшая механизированная штукатурка:6|аппарат для механизированной штукатурки:4|кнауф механизированная штукатурка 30 кг:4"
"B14","Фундамент для мобильной или готовой бани","Бани","11318","Омская область","P1","high","5","62","183","фундамент под баню","фундамент под баню:183|каркасная баня на сваях:29|какой фундамент под баню:21|ленточный фундамент под баню:21|фундамент под баню 5 5:15|фундамент под баню своими руками:15|баня 4 4 фундамент под баню:12|как залить фундамент под баню:12"
"B10","Стоимость доставки по Омску и области","Бани","11318","Омская область","P1","medium","6","30","178","баня с доставкой","баня с доставкой:178|бани с доставкой омск:143|готовые бани с доставкой:88|баня с доставкой и установкой:76|баня с доставкой и установкой под ключ:71|купить баню с доставкой:68|готовые бани с доставкой омск:63|купить баню с доставкой в омске:62"
"B08","Что входит в баню под ключ","Бани","11318","Омская область","P1","medium","7","18","143","готовая баня под ключ","готовая баня под ключ:143|готовые бани под ключ в омске:93|цена готовой бани под ключ:77|готовые бани под ключ недорого:48|готовая баня под ключ недорого цена:46|готовые бани под ключ фото:40|готовые бани под ключ фото цена:40|купить готовую баню под ключ:34"
"B17","Использование бани зимой в Омске","Бани","11318","Омская область","P1","medium","8","31","130","баня зимой","баня зимой:130|теплая баня зимой:10|вода в бане зимой:8|как утеплить баню зимой:8|пол в бане зимой:5|как сделать баню зимой:4|голая баня зимой:3|провести воду в баню зимой:3"
"B20","Кедр против сосны и ели","Бани","11318","Омская область","P2","medium","9","14","130","кедровые бани","кедровые бани:130|кедровые бани омск:76|кедровая баня омск демьяна:30|кедровая баня на демьяна бедного:21|кедровая баня на демьяна бедного омск:20|кедровые бани бочки:6|кедровая баня цена:4|кедровую баню чем обработать:2"
"D04","Глубина скважины и итоговая стоимость","Бурение","11318","Омская область","P1","medium","10","2","55","бурение скважин цена","бурение скважин цена:55|как считается глубина скважины при бурении:7"
"B02","Готовая баня или строить на участке","Бани","11318","Омская область","P1","medium","11","25","47","строительство бани под ключ","строительство бани под ключ:47|строительство бани на участке:45|омск строительство бань под ключ:26|строительство бани под ключ цена:25|строительство бани на дачном участке:21|строительство бань в омске под ключ цены:20|строительство бань в тюмени под ключ:17|строительство бани на земельном участке:8"
"B09","Итоговая цена и доплаты","Бани","11318","Омская область","P1","medium","12","5","11","стоимость баня под ключ цена","стоимость баня под ключ цена:11|стоимость бани бочки под ключ:7|стоимость бани бочки под ключ цена:7|сколько цена бани бочки под ключ:5|стоимость бани на участке:1"
"P02","Гипсовая или цементная штукатурка","Штукатурка","11318","Омская область","P2","medium","13","3","10","механизированная гипсовая штукатурка","механизированная гипсовая штукатурка:10|гипсовая штукатурка кнауф механизированная:4|механизированная цементная штукатурка:4"
"B06","Планировка: парная, мойка и комната отдыха","Бани","11318","Омская область","P2","medium","14","4","6","каркасная моечная баня","каркасная моечная баня:6|парная баня на дачном участке:5|планировка бани на участке:2|готовая планировка бани:1"
"B16","Слив и вода зимой","Бани","11318","Омская область","P2","low","15","2","5","баня зимой замерзает вода","баня зимой замерзает вода:5|баня слив воды зимой:3"
"S03","Когда можно ходить и укладывать покрытие","Стяжка","11318","Омская область","P2","low","16","1","5","сколько сохнет полусухая стяжка","сколько сохнет полусухая стяжка:5"
"B11","Как проходит доставка и установка","Бани","11318","Омская область","P1","low","17","4","4","установка бани на участке","установка бани на участке:4|нормативы установки бани на участке:1|правила установки бани на участке:1|установка бани на участке правила и нормативы:1"
"B04","Как выбрать размер 2×2, 3×2 или 4×2","Бани","11318","Омская область","P1","low","18","9","3","баня 4х2","баня 4х2:3|баня 2х2:2|баня 2х2 своими руками:1|баня 4х2 5:1|баня 4х2 каркасная:1|баня 4х2 планировка:1|каркасная баня 2х2:1|каркасная баня 2х2 своими руками:1"
"B19","Печь и дымоход","Бани","11318","Омская область","P2","low","19","3","3","готовые печи для бани","готовые печи для бани:3|готовая печка для бани:2|готовые готовые печи для бань купить:2"
"P03","От чего зависит цена штукатурки","Штукатурка","11318","Омская область","P1","low","20","1","2","механизированная штукатурка цена","механизированная штукатурка цена:2"
